pair_id,side,sequence,frame_index,condition,repetition,execution_order,model_forward_ms,peak_allocated_bytes,peak_reserved_bytes,batch_size,dtype,diagnostic_logging,record_call_counts,physical_skip
R3-D01,primary,Basketball,415,whole_mrm1_physical_skip,3,5,548.8494999954128,140518912,165675008,1,torch.float32,False,False,True
R3-D01,primary,Basketball,416,whole_mrm1_physical_skip,3,5,562.4584000033792,140518912,165675008,1,torch.float32,False,False,True
R3-D01,primary,Basketball,417,whole_mrm1_physical_skip,3,5,620.1505999997607,140518912,165675008,1,torch.float32,False,False,True
R3-D01,primary,Basketball,418,whole_mrm1_physical_skip,3,5,567.3275999943144,140518912,165675008,1,torch.float32,False,False,True
R3-D01,primary,Basketball,419,whole_mrm1_physical_skip,3,5,532.2014999983367,140518912,165675008,1,torch.float32,False,False,True
R3-D01,primary,Basketball,420,whole_mrm1_physical_skip,3,5,526.6377999942051,140518912,165675008,1,torch.float32,False,False,True
R3-D01,primary,Basketball,421,whole_mrm1_physical_skip,3,5,436.6114000004018,140518912,165675008,1,torch.float32,False,False,True
R3-D01,primary,Basketball,422,whole_mrm1_physical_skip,3,5,420.05990000325255,140518912,165675008,1,torch.float32,False,False,True
R3-D01,primary,Basketball,423,whole_mrm1_physical_skip,3,5,386.4657999947667,140518912,165675008,1,torch.float32,False,False,True
R3-D01,primary,Basketball,424,whole_mrm1_physical_skip,3,5,377.3852000012994,140518912,165675008,1,torch.float32,False,False,True
R3-D01,primary,Basketball,425,whole_mrm1_physical_skip,3,5,356.614799995441,140518912,165675008,1,torch.float32,False,False,True
R3-D01,primary,Basketball,426,whole_mrm1_physical_skip,3,5,382.52709999505896,140518912,165675008,1,torch.float32,False,False,True
R3-D01,primary,Basketball,427,whole_mrm1_physical_skip,3,5,349.0326999963145,140518912,165675008,1,torch.float32,False,False,True
R3-D01,primary,Basketball,428,whole_mrm1_physical_skip,3,5,421.20270000305027,140518912,165675008,1,torch.float32,False,False,True
R3-D01,primary,Basketball,429,whole_mrm1_physical_skip,3,5,450.37049999518786,140518912,165675008,1,torch.float32,False,False,True
R3-D01,primary,Basketball,430,whole_mrm1_physical_skip,3,5,509.551700000884,140518912,165675008,1,torch.float32,False,False,True
