pair_id,side,sequence,frame_index,comparison,maximum_float_bbox_abs_diff,integer_bbox_exact,score_map_max_abs_diff,confidence_abs_diff,left_end_state_sha256,right_end_state_sha256,continuation_state_exact,tolerance,status
R3-D05,primary,Car4,121,MLP_MRM1_ZERO_VS_PHYSICAL,0.0,True,0.0,0.0,9e67abb7365f6cba0429d7188541caf6edcf890eae205710ae6b28aec982b887,9e67abb7365f6cba0429d7188541caf6edcf890eae205710ae6b28aec982b887,True,1e-06,PASS
R3-D05,primary,Car4,122,MLP_MRM1_ZERO_VS_PHYSICAL,0.0,True,0.0,0.0,9e67abb7365f6cba0429d7188541caf6edcf890eae205710ae6b28aec982b887,9e67abb7365f6cba0429d7188541caf6edcf890eae205710ae6b28aec982b887,True,1e-06,PASS
R3-D05,primary,Car4,123,MLP_MRM1_ZERO_VS_PHYSICAL,0.0,True,0.0,0.0,9e67abb7365f6cba0429d7188541caf6edcf890eae205710ae6b28aec982b887,9e67abb7365f6cba0429d7188541caf6edcf890eae205710ae6b28aec982b887,True,1e-06,PASS
R3-D05,primary,Car4,124,MLP_MRM1_ZERO_VS_PHYSICAL,0.0,True,0.0,0.0,9e67abb7365f6cba0429d7188541caf6edcf890eae205710ae6b28aec982b887,9e67abb7365f6cba0429d7188541caf6edcf890eae205710ae6b28aec982b887,True,1e-06,PASS
R3-D05,primary,Car4,125,MLP_MRM1_ZERO_VS_PHYSICAL,0.0,True,0.0,0.0,9e67abb7365f6cba0429d7188541caf6edcf890eae205710ae6b28aec982b887,9e67abb7365f6cba0429d7188541caf6edcf890eae205710ae6b28aec982b887,True,1e-06,PASS
R3-D05,primary,Car4,126,MLP_MRM1_ZERO_VS_PHYSICAL,0.0,True,0.0,0.0,9e67abb7365f6cba0429d7188541caf6edcf890eae205710ae6b28aec982b887,9e67abb7365f6cba0429d7188541caf6edcf890eae205710ae6b28aec982b887,True,1e-06,PASS
R3-D05,primary,Car4,127,MLP_MRM1_ZERO_VS_PHYSICAL,0.0,True,0.0,0.0,9e67abb7365f6cba0429d7188541caf6edcf890eae205710ae6b28aec982b887,9e67abb7365f6cba0429d7188541caf6edcf890eae205710ae6b28aec982b887,True,1e-06,PASS
R3-D05,primary,Car4,128,MLP_MRM1_ZERO_VS_PHYSICAL,0.0,True,0.0,0.0,9e67abb7365f6cba0429d7188541caf6edcf890eae205710ae6b28aec982b887,9e67abb7365f6cba0429d7188541caf6edcf890eae205710ae6b28aec982b887,True,1e-06,PASS
R3-D05,primary,Car4,129,MLP_MRM1_ZERO_VS_PHYSICAL,0.0,True,0.0,0.0,9e67abb7365f6cba0429d7188541caf6edcf890eae205710ae6b28aec982b887,9e67abb7365f6cba0429d7188541caf6edcf890eae205710ae6b28aec982b887,True,1e-06,PASS
R3-D05,primary,Car4,130,MLP_MRM1_ZERO_VS_PHYSICAL,0.0,True,0.0,0.0,9e67abb7365f6cba0429d7188541caf6edcf890eae205710ae6b28aec982b887,9e67abb7365f6cba0429d7188541caf6edcf890eae205710ae6b28aec982b887,True,1e-06,PASS
R3-D05,primary,Car4,131,MLP_MRM1_ZERO_VS_PHYSICAL,0.0,True,0.0,0.0,9e67abb7365f6cba0429d7188541caf6edcf890eae205710ae6b28aec982b887,9e67abb7365f6cba0429d7188541caf6edcf890eae205710ae6b28aec982b887,True,1e-06,PASS
